n,Er (GPa),sy (GPa),C (GPa),dP/dh (N/m),Wp/Wt,hm (um),
0.216970878,29.36480539,0.606715688,32.78830598,86873.61562,0.596414819,6.19E-01,
0.103923855,70.09813061,1.583106387,76.22300266,372270.6148,0.606399511,1.13E+00,
0.491697616,108.8702128,2.78799279,137.8813985,47220.23518,0.448945011,1.07E-01,
0.411724427,141.7148376,2.972185596,162.8827452,704145.428,0.499814528,1.23E+00,
0.246482439,208.9060711,0.75713168,96.71471361,344401.7924,0.834965821,3.44E-01,
0.321759092,129.2539947,0.211281014,45.38612138,892682.2389,0.879108794,1.35E+00,
0.167964928,24.34806815,0.508850583,26.82018781,162983.9583,0.612591693,1.37E+00,
0.346980914,148.2854283,1.468123771,126.0105093,294752.9395,0.661091723,4.51E-01,
0.398850921,73.69680613,0.097534045,28.19445422,309042.9042,0.866022526,8.12E-01,
0.17891823,48.01869824,2.4139294,70.73776874,235420.0455,0.392335175,1.18E+00,
0.316294828,97.04431802,0.226295712,40.98417946,229166.4227,0.857124585,4.56E-01,
0.203355691,184.4906883,0.781240968,87.80230417,327269.4589,0.838602226,3.57E-01,
0.266554318,29.30668718,1.569100024,44.80353524,57975.56543,0.359728979,4.82E-01,
0.060448414,108.8804708,0.850142373,64.05544029,61245.30603,0.827268521,1.03E-01,
0.469906717,144.542161,1.01784425,120.0564149,474944.2532,0.650812268,7.66E-01,
0.039273812,175.2241771,1.942527718,122.9280971,1070672.05,0.769869557,1.24E+00,
0.416597006,115.4827333,1.612619018,118.0407924,684279.4735,0.577518406,1.38E+00,
0.159178988,12.73445922,1.991996327,24.38208333,55889.65114,0.218450222,1.20E+00,
0.232836611,57.5156949,0.669003449,49.77659941,184265.6422,0.700095239,6.47E-01,
0.359463653,68.16570192,1.815070669,85.89447078,221228.1777,0.483128788,7.59E-01,
0.123066756,226.6481402,0.738641671,79.63679401,1104837.969,0.889185718,9.37E-01,
