C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Er (GPa),sy (GPa)
149.7105664,204404.8224,0.724829203,0.245185826,109.63,1.121
143.4747534,202531.9752,0.73115309,0.250457003,109.63,1.121
139.6289433,197441.4551,0.713472278,0.253883494,109.63,1.121
137.9059596,203192.1705,0.730151436,0.255463755,109.63,1.121
131.0919353,205707.896,0.739037759,0.262019696,109.63,1.121
154.5248411,194118.5905,0.717353776,0.2413365,109.63,1.121
140.4216123,200783.9424,0.745932007,0.253165873,109.63,1.121
132.3608533,207431.7961,0.736504863,0.260759753,109.63,1.121
142.2414025,201230.6026,0.728944936,0.251540766,109.63,1.121
140.8518509,196338.8211,0.710647706,0.252778697,109.63,1.121
90.04616137,201750.7957,0.728192271,0.316147222,109.63,1.121
96.60305597,203898.5387,0.714701712,0.305229032,109.63,1.121
103.9322109,196472.9786,0.711110193,0.294270773,109.63,1.121
98.60902877,200443.2305,0.7324525,0.302108971,109.63,1.121
95.73674571,204841.2547,0.726317212,0.306607297,109.63,1.121
96.20164424,206948.0321,0.721046418,0.30586488,109.63,1.121
101.1728644,201650.9213,0.721964306,0.298255954,109.63,1.121
93.22399062,206140.3186,0.726345876,0.310712503,109.63,1.121
100.5031621,203594.244,0.7231408,0.299248007,109.63,1.121
98.55684805,206872.2742,0.716347052,0.302188848,109.63,1.121
100.8430653,198212.7047,0.710148632,0.298743488,109.63,1.121
95.35338058,207852.4065,0.730852852,0.307222927,109.63,1.121
94.81381011,205918.5343,0.73541557,0.30809564,109.63,1.121
91.02515924,202655.9818,0.730372635,0.314442535,109.63,1.121
90.77667967,201043.6983,0.733075866,0.314872563,109.63,1.121
94.79052619,205525.4159,0.728235948,0.308133942,109.63,1.121
93.48156718,202193.7131,0.728291863,0.310283996,109.63,1.121
94.06601907,204058.1127,0.727644146,0.309318522,109.63,1.121
94.27623494,205983.1078,0.733958507,0.308972927,109.63,1.121
93.90091617,204499.6882,0.732353278,0.309589353,109.63,1.121
91.40535319,210772.6986,0.730079103,0.313787307,109.63,1.121
96.8886807,201511.5254,0.731311074,0.304779243,109.63,1.121
102.5824263,203300.6886,0.712747647,0.296200349,109.63,1.121
92.27636248,208519.2658,0.730689166,0.312303017,109.63,1.121
101.6821802,197133.7201,0.72201508,0.297508775,109.63,1.121
95.2811632,205891.145,0.734412028,0.307339095,109.63,1.121
88.74370126,201780.1676,0.734419538,0.318459149,109.63,1.121
94.16682632,208488.6176,0.731714766,0.309152286,109.63,1.121
99.57754164,201652.865,0.712829777,0.300636148,109.63,1.121
90.98363931,210605.1869,0.72801389,0.314513958,109.63,1.121
95.91857422,198512.3677,0.717090234,0.306317336,109.63,1.121
92.54454271,207654.0941,0.739575683,0.311849762,109.63,1.121
100.9942045,194458.1556,0.717313538,0.298520018,109.63,1.121
101.0638834,194880.2445,0.708299731,0.298416898,109.63,1.121
92.11991684,198554.3983,0.720440221,0.312568005,109.63,1.121
107.8210094,197980.1685,0.71090849,0.288915022,109.63,1.121
98.02880907,199916.8949,0.724593444,0.303001213,109.63,1.121
95.28947877,201942.9284,0.715177489,0.3073257,109.63,1.121
94.39628862,204943.4849,0.741714253,0.308776442,109.63,1.121
91.28129378,199209.756,0.722266567,0.314000694,109.63,1.121
92.83082785,203094.3358,0.735488587,0.311369129,109.63,1.121
99.74316099,196219.2078,0.713538941,0.300386594,109.63,1.121
95.07912477,204422.3992,0.734241352,0.307666036,109.63,1.121
97.88424159,198734.6095,0.723990387,0.303225025,109.63,1.121
100.8889849,200702.2196,0.717481934,0.298675526,109.63,1.121
92.64119065,198412.1391,0.725792563,0.311688459,109.63,1.121
94.63703082,198372.5958,0.717384563,0.308382622,109.63,1.121
85.78509317,212396.8077,0.754512934,0.323903703,109.63,1.121
99.39997789,199304.7936,0.71626055,0.300904501,109.63,1.121
102.5302935,197262.5866,0.725887836,0.296275467,109.63,1.121
95.18642714,204594.387,0.724333572,0.30749189,109.63,1.121
93.70238601,208399.1929,0.729317315,0.309917794,109.63,1.121
96.53508437,201283.5449,0.73008253,0.305336899,109.63,1.121
97.41720264,203048.4355,0.721505455,0.303950823,109.63,1.121
99.99872715,200764.1943,0.721019351,0.300001958,109.63,1.121
107.9368068,200020.1662,0.704288019,0.288759669,109.63,1.121
92.14034201,202629.1486,0.729995819,0.31253382,109.63,1.121
94.29013281,199325.6342,0.725528842,0.30895033,109.63,1.121
104.0940062,192856.5396,0.707113583,0.29404118,109.63,1.121
101.823569,200429.326,0.724525117,0.297302082,109.63,1.121
95.56509153,202206.8259,0.724961571,0.306882857,109.63,1.121
90.91574315,202240.7386,0.725393922,0.314631648,109.63,1.121
100.5743082,206428.972,0.723580579,0.299143035,109.63,1.121
92.92696611,205102.0643,0.737496162,0.311207167,109.63,1.121
95.4698304,199506.1088,0.719054777,0.307035178,109.63,1.121
100.1924317,197265.547,0.715875748,0.299711936,109.63,1.121
104.5527759,196358.7256,0.713213794,0.293395127,109.63,1.121
96.3265962,198803.2903,0.720239243,0.305667327,109.63,1.121
92.75080008,199327.1533,0.738672018,0.311503274,109.63,1.121
97.20989443,205151.3316,0.729953192,0.304275231,109.63,1.121
96.83982532,207531.2786,0.737936216,0.304855159,109.63,1.121
90.7623514,202445.9143,0.721125192,0.314896215,109.63,1.121
96.17622304,198600.092,0.727405491,0.305905432,109.63,1.121
94.29633117,205803.1856,0.738308021,0.308939262,109.63,1.121
103.7097835,194832.599,0.70856867,0.294586071,109.63,1.121
90.64515285,203569.4946,0.737556078,0.315101228,109.63,1.121
85.39778742,206424.4113,0.723585189,0.324638307,109.63,1.121
94.65802395,204977.6606,0.720290946,0.308348628,109.63,1.121
100.5391667,205666.6378,0.716223827,0.29919496,109.63,1.121
96.20509949,211008.1501,0.751171092,0.305860383,109.63,1.121
97.16774647,203305.2409,0.715161068,0.304340847,109.63,1.121
100.340685,201513.3762,0.732668903,0.299490898,109.63,1.121
92.76566314,207802.0365,0.731096357,0.311478154,109.63,1.121
93.64941491,209404.9183,0.72737097,0.310005731,109.63,1.121
98.19913521,206451.8369,0.716803415,0.302738549,109.63,1.121
92.87748456,205062.1772,0.724737914,0.311290424,109.63,1.121
100.115238,199002.6466,0.717201646,0.299827803,109.63,1.121
95.20639592,203913.5546,0.735824456,0.307459647,109.63,1.121
96.18431101,202007.3398,0.724587642,0.305892735,109.63,1.121
96.68823597,203227.5039,0.72661344,0.305094615,109.63,1.121
95.96462667,203725.9335,0.724778531,0.30624322,109.63,1.121
100.5262951,203009.2245,0.723594565,0.299214433,109.63,1.121
94.28303365,208152.6321,0.739541732,0.308961726,109.63,1.121
91.37506156,209073.2153,0.73354484,0.313839342,109.63,1.121
95.73865194,200481.6057,0.728965435,0.306604193,109.63,1.121
93.28235708,200707.0972,0.730586191,0.310614069,109.63,1.121
